date,t,kwh,dow,n_obs,coverage,observed,sub_kwh,year,doy,std_resid,ppp,lam,fitted,p_block
2006-12-17,1,56.507666666666665,6,1440,1.0,True,19.561,2006,351,,,1.0,37.87105987113241,
2006-12-18,2,36.73043333333333,0,1440,1.0,True,17.702,2006,352,-0.5243583404860239,0.311824588718087,1.1106350252917037,32.695933979042394,
2006-12-19,3,27.7699,1,1440,1.0,True,14.638,2006,353,-1.461424644900787,0.09973957656033354,0.844466229112586,34.4255599639252,
2006-12-20,4,37.0958,2,1440,1.0,True,16.711,2006,354,0.8774115326978059,0.7901555128035085,1.0376734863547608,34.71532216778674,
2006-12-21,5,28.6104,3,1438,0.9986111111111112,True,14.809,2006,355,-0.776447328667824,0.23575666957259153,1.0494048922904766,32.04947247102405,
2006-12-22,6,39.0223,4,1440,1.0,True,14.632,2006,356,1.190075688166483,0.8576809530459135,0.9307991234376095,33.66056039141897,
2006-12-23,7,79.55643333333335,5,1440,1.0,True,17.82,2006,357,7.04565636298889,0.9997172276122438,0.12429414842656115,38.25046316812697,
2006-12-24,8,42.5002,6,1440,1.0,True,13.676,2006,358,-1.9194502677060366,0.05571670726066254,0.7197471542924176,37.751126312619874,0.9975
2006-12-25,9,45.718666666666664,0,1440,1.0,True,14.377,2006,359,2.0441255717014433,0.9545015567939611,0.6694415215717163,32.5517654732585,0.998125
2006-12-26,10,65.5685,1,1440,1.0,True,18.598,2006,360,4.731606445952154,0.9980820764379217,0.24060210002004168,34.25766054482572,0.998125
2006-12-27,11,25.479333333333333,2,1440,1.0,True,7.29,2006,361,-3.71758049515793,0.005649106633532544,0.34794757964031303,34.524210262572744,0.996875
2006-12-28,12,34.54396666666666,3,1440,1.0,True,15.802,2006,362,1.0917861295282274,0.838676698281398,0.9899472796823829,31.835680189792647,0.995
2006-12-29,13,52.90653333333333,4,1440,1.0,True,17.743,2006,363,3.3087193976647478,0.9910631752165036,0.40388472605845893,33.424632804694525,0.998125
2006-12-30,14,46.48836666666667,5,1438,0.9986111111111112,True,23.443,2006,364,0.21682254217146185,0.5809332669693561,1.1677976682572626,37.992957573155216,0.999375
2006-12-31,15,58.2366,6,1440,1.0,True,6.849,2006,365,3.152130034285331,0.9891720864865099,0.4371115432825172,37.472611489323626,0.986875
2007-01-01,16,45.81673333333333,0,1440,1.0,True,6.232,2007,1,1.0408891913304148,0.8272820822872918,1.0072878658608533,32.25282093075899,0.983125
2007-01-02,17,21.153933333333335,1,1440,1.0,True,6.91,2007,2,-3.19963325389279,0.010238945397940812,0.4257886035030242,33.93887575944639,0.97875
